track,artist,label
Flowers Were Real,Esa,angry
All These Arms,Marching Church,fear
Slipping Away,Michael Andrews,fear
Get On Your Knees,Necro,sadness
Big Bank Dank (ft Blue Scholars),Olu,others
Survivalism Remix to Nine Inch Nails,Church of Machinery,angry
Set The Controls For The Heart Of The Sun (2011 - Remaster),Pink Floyd,fear
"Divertimento No. 17 for 2 Horns & Strings In D, K. 334: Menuetto",Dennis Brain,love
Why the Owl Wins,Skerror,joy
Tunga,Mamadou Diabate,fear
"I Take My Chances (Live - Madison, WI)",Mary Chapin Carpenter,love
Lose Yourself (8 Mile),Eminem,others
Isora Club,Rubén González,love
Earth To Doris,Was (Not Was),love
Visiting,Will Ackerman; William Ackerman,love
Lounge (Closing Time),Modest Mouse,love
Memories,Robert Wyatt,love
The Worst,Shel Silverstein,fear
Thank You!!!,Archaic,joy
Soon As I Get Home,Faith Evans,love
Corduroy,Jaymay,sadness
Alpha Beta Gaga - Mark Ronson Dub,Air,joy
Blaze,Strike Anywhere,others
Chu Chu Lovely Muni Muni Mura Mura Purin Purin Boron Nurururerorero,Maximum the Hormone,joy
Stan Live*,Elton John/Eminem,love
Nightshift,Sarah Nixey,sadness
Embody,Sebastian,others
Seragaki (Junkie XL remix),Ryukyu Underground,joy
Atlantis,Color Collapse,love
Saturday Nightmares,Logh,love
London Town,Wings,love
What We Have Known,Joanna Newsom,joy
The North Wind Blew South,Headless Heroes,fear
Celebration,w-inds.,others
Puakenikeni,Nicole Scherzinger,others
Someones Second Kiss,RJD2,love
Mosquito Song,Queens of the Stone Age,fear
Miami Showdown,Digitalism,joy
LEté Indien,Joe Dassin,joy
Regen des Verfalls,Die In Progress,angry
Overjoyed,Bastille,love
Bpd,Ilya,sadness
Rebel on the Run,Hanoi Rocks,angry
Dungeness,Athlete,love
La Réjouissance,Georg Friedrich Händel,others
Sabotage (Ordos),Jarrid Mendelson,angry
Jar,Negură Bunget,angry
Body Machine Body (Freakangel Remix),Leæther Strip,angry
03 Ты мне казалась,Ласка,angry
Feelin Fine,Ultrabeat,others
What Makes You Think Youre the One,Fleetwood Mac,fear
Last Good Sleep,Company Flow,fear
Girl,Sibylle Baier,love
America Loves Gangsters,CunninLynguists,joy
04 - Pleasure and Pain,Ben Harper & The Innocent Criminals,love
Careless Love,Bonnie Prince Billy,fear
Square Four,Buck 65,angry
Der Zörn Gottes,Dernière Volonté,fear
For Muzik,4minute,joy
South Pennsylvania Waltz,16 Horsepower,fear
Galaxy Gramophone,The Soundtrack of Our Lives,angry
Would You Mind,Janet Jackson,others
Quarter To Seven,The Fairways,love
French Blue,Janet Jackson,others
Item-Sortilegium,Laïs,angry
In My Life,Johnny Cash,fear
Why Dont We Do It in the Road?,The Beatles,joy
Hello Sunshine,Super Furry Animals,love
Im Taking the Train Home,The Twilight Sad,fear
Ring My Bell,Salty Dog,angry
Quasimodos Thump,Ernesto Schnack,others
Arrival of the Birds,The Cinematic Orchestra,fear
Mr. Handagote,Tomáš Dvořák,love
Fake Plastic Trees,Radiohead,fear
Girl,John Parish & Polly Jean Harvey,fear
Mirror,Resurrection Band,angry
umbrella,The Northern Coast,love
Strip (feat. Kevin McCall),Chris Brown,others
Underfoot,JK Flesh,fear
The Wind,Billy Bob Thornton,sadness
Dont Care bout Nothin,Shotgun Messiah,angry
Stay and Fight,Tamar Braxton,love
Rewind,Stereophonics,love
Supervillian Music,Chilly Gonzales,joy
Resolution 7,FGFC820,angry
This Time Tomorrow,Rinaldi Sings,fear
Elusive Rmx,Ms. John Soda,love
(A Berlin) Drill,Wire,sadness
Gold Forever,The Wanted,joy
Snowfaller,The Church,others
Ralph the Carpenter,Mike Warnke,angry
Over My Head,Moloko,sadness
Threads,This Will Destroy You,joy
Alles dreht sich,Mangara,others
West L.A. Fadeaway,Grateful Dead,fear
Beautiful,Joydrop,fear
Dviese prieglobstyje nakties,Grad_U,fear
Full of Nothing,monotalk,angry
Wolfsblood,Misfits,sadness
Busy,Ks Choice,fear
Into the Forest,Danny Elfman,joy
Aina Nälkä,Sielun Veljet,joy
Suga Mama,Beyoncé,others
Feel So Close (Extended Mix),Calvin Harris,others
Dings,Annett Louisan,love
White Coats,Foxes,love
Old Man Live At Massey Hall 1971,Neil Young,sadness
Cheap Thrills,Plastic Little,joy
But Not for Me,Julie London,love
The Dark,Azar Baksh,fear
20 Years of Hell,Anti-Flag,angry
Silk and Leather,Shelagh McDonald,fear
Channel 8,Aufgang,love
Time of Our Lives,Pitbull,others
Dust,Mathias Grassow,fear
The Freaks,The Tiger Lillies,others
When the Spice Hits,John Pinette,others
Lightwaves,Electric Skychurch,fear
Ponekad,Slađana Milošević,joy
Baiulus,The Black Atlantic,love
愛し子よ,ルルティア,joy
Chain of Fools,Little Caesar,angry
Broken,David Nevue,sadness
Five Years,David Bowie,fear
New Dark Age / Hothouse,The Sound,sadness
Undress Me Now,Morcheeba,others
Saltarno,Ophelias Dream,sadness
Gathered Years,Brightblack Morning Light,angry
Necromancer,Gnarls Barkley,sadness
Pack Up,Eliza Doolittle,others
Poor Wayfaring Stranger,Natalie Merchant,fear
月と手のひら,Lunkhead,love
Beklagenswaardig Bestaan,Zelfhaat,angry
Mouth Full Of Cavities,Blind Melon,fear
That Summer Feeling,Jonathan Richman And The Modern Lovers,others
Missed My Chance,Griffin House,fear
"Fred Jones, Part 2",Ben Folds,fear
Alone Together,Marit Bergman,fear
There Aint No Santa Claus on the Evenin Stage,Captain Beefheart & His Magic Band,fear
Hallelujah,Hothouse Flowers,fear
The Best Ever Death Metal Band In Denton,The Mountain Goats,fear
Kill The Music Industry,Cold,fear
Queen Bee,Neil Halstead,others
Gone For Good,Everlast,others
Marcie,Joni Mitchell,sadness
Sleepless,Lycia,sadness
Come To Sin,Bananafishbones,fear
Sparkling Ground,Ora Cogan,fear
Internacional,Brazilian Girls,joy
Actual Blood,Shipping News,fear
Vertebraille: Choke That Thief Called Dependence,Norma Jean,joy
Dance Hall,Modest Mouse,joy
Spondee,Matmos,sadness
"Deutschland, deine Kinder",Rolf Zuckowski und seine Freunde,love
All of the cool girls,Honest Bob and the Factory-to-Dealer Incentives,angry
A voz,Los Panchos? Sí!,joy
bravery,LArc~en~Ciel,joy
How Does Ed Cope?,Eggplant,angry
I Love U,Boards of Canada,joy
Woman In The Wall,The Beautiful South,others
Bring The Flavor,Queen Latifah,others
Jim,Swans,others
Lost Imaginary,Korine Conception,love
Dr. Sun,Ace of Base,others
Meat (feat. Skin),Iommi,angry
Dünya Son,Leisure-B & Chilled Bazooka,sadness
Lament,Libera,sadness
Arena,志方あきこ,joy
Angels In The End,The Good Sons,joy
Set The Fire To The Third Bar (Featuring Martha Wainwright),Snow Patrol,love
Cover Me (Just One More Time),Vain,angry
We Exchanged Words,Azure Ray,love
We Are the Future,AUX 88,love
Вальс Бостон,Александр Розенбаум,love
Mistaken Identity,Donna Summer,joy
Tell Me Anything,La Chat,angry
Tomten,Kreti och Pleti,love
Wenn ich an dich denk,Nina Hagen,love
"Acid, Bitter and Sad",This Mortal Coil,fear
Expression,The Bridgeheads,joy
La Corolle,志方あきこ,angry
Fruit Nut,XTC,others
"Chorus, Verse, Chorus",Daedelus,others
Transvortexicbeatpermongula,Eggfast,angry
Rock City,Kings of Leon,sadness
Ocean of Noise,Arcade Fire,fear
Scream,Shannon Grady,sadness
I Want You,Diana Ross,love
BE ALL RIGHT!,11WATER,others
Untitled,Heiliges Licht,fear
Trinity,Common Market,joy
Are You A Hypnotist?,The Flaming Lips,fear
Jesus Christ the Apple Tree,Elizabeth Poston,fear
La Nuit,Goran Bregović,sadness
Blowjob Parasite,Deutsch Nepal,joy
My Throat Is An Open Grave,Demon Hunter,joy
Cuore di Cristo,Marco Frisina,joy
Night: Part II. Midnight,George Winston,fear
Open Your Eyes,School of Seven Bells,sadness
I Only Have Eyes For You,Frank Sinatra & Count Basie,others
All Night,f(x),others
Find Your Wings,"Tyler, the Creator",love
Now The World/This Time Imperfect,AFI,fear
Everything Reminds Me Of Her,Elliott Smith,fear
Going Through the Motions,Kansas,joy
Not Enough Time,INXS,others
Flamme des Lebens,Lamento,sadness
Quitting Smoking Song,Princess Superstar,sadness
A Fool for Love,Bryan Ferry,sadness
bass and reverb minimalist song,"scraps, e-flat",fear
On the Dance Floor,André Beraldino feat. Paula Portella,others
no leadership!,PHILLIP MUENCH,sadness
Cantus in Memory of Benjamin Britten for Strings and Bells,Arvo Pärt,joy
The Way You Look Tonight,Tony Bennett,others
So Far Away,Lazerhawk,love
Place of Spirit,Kate Price,love
Still at Home,Luna,others
Giving Ground,The Sisterhood,fear
Kino (Live),The Knife,joy
Daylight,Kelly Rowland,love
I Saw Him Drowning,Ghosts of Breslau,fear
From Ancient Aeons,Predominance,love
Cut It,Colour of Fire,joy
Break Out,Dom & Roland,joy
Milk & Honey,Twin Sister,love
Marlene Dietrichs Favourite Poem,Peter Murphy,angry
Give Me Love,Lucky Soul,others
Anonymous,Bobby Valentino,love
Besame Mucho,The Beatles,others
Invisible Cloister,Sleepwalker Project,fear
On My Own,Delta Goodrem,fear
philandrops (live),ryadeum,fear
Dont Bother None,Mai Yamane,fear
Marital Sabotage,Hans Zimmer,joy
Bob Is Not Your Uncle Anymore,Walter Becker,others
Heel alleen,Vera Mann,joy
Bobby peru,Mary and the Boy,joy
Mr Wilmington,Lucky Boys Confusion,others
Só,Luiz Melodia,others
Dirty Squatters,Zounds,angry
With One Look,Barbra Streisand,angry
Drunk Off Your Love (feat. Sky Blu of LMFAO),Shwayze,others
ラムレンジャー,ラムジ,fear
Rudebox (Clean Radio Edit),Robbie Williams,others
Assassination,dead prez,fear
Corollary 3.8,asfyxia,fear
My Own,The Perishers,love
光降る場所で～Promesse～,志方あきこ,angry
Vinheta Quebrante,Céu,others
Low,Silverchair,love
Yeah I Know,Ciara,others
The Bells,Venus Hum,love
What Have You Done for Me Lately Extended Mix,Janet Jackson,sadness
Pratyahara,The Mystical Uxoricide & Compound,joy
Labels Or Love,Fergie,others
Peace On Earth,John Coltrane,love
New World Order (ft. D.C Cooper),Shadow Gallery,others
Oh Jim,Lou Reed,fear
딱 마주쳐,miss A,others
Touch Back Down (Jeremy Wheatley Mix),Catherine Feeny,love
Asuntos serios,El Puchero del Hortelano,others
Tyrants in Distress,Watchtower,angry
Rain,Audiovent,others
Keep Walking,Kuba,sadness
Samedi soir sur la terre,Francis Cabrel,love
Scratches,John Frusciante,fear
Good Time (radio edit),Brazilian Girls,others
Slow Burner,BCEE & Lomax,love
Im Doing Fine Now (Silky Soul Mix),The Pasadenas,angry
Leave My Monkey Alone,Warren Zevon,sadness
Visit Colonel,Thee Oh Sees,joy
Skin Tension,Man Man,fear
Bengali Song,Nitin Sawhney,love
A Doodlin Song,Peggy Lee,love
Mariangela e la seduzione,Ennio Morricone,joy
Misty,GACKT,joy
Kings and Queens,30 Seconds to Mars,others
Howard Unrah (What Have You Done Now?),Macabre,sadness
Whatever It Is,Ben Lee,love
The Scepter4,遠藤幹雄,others
Little Deuce Coupe,The Beach Boys,others
Rhytmisaconstantbeat,Gruppo Sportivo,others
It Doesnt Have To Be Beautiful,Slow Club,joy
Suteki Da Ne - Final Fantasy X,Erutan,joy
Re-Arrange (The Cinematic Orchestra remix),Krust,fear
BlackHearted GoodByes,Aetherius,sadness
Baby,The Bird and the Bee,others
E poi...,Mina,others
雪中莲,王菲,love
T Baggin (Skit),Ludacris,joy
Пока я любил тебя,ундервуд,love
Farewell Transmission,Songs: Ohia,fear
Queer,Garbage,joy
IV,Geprogrammeerde Celdood,joy
Active Verbs,The Phantom Limbs,joy
Snow Day,Lisa Loeb,others
Back to Sleep,Factory of Dreams,fear
Untutored Youth,The Hives,others
Lets Wait Awhile,Janet Jackson,love
Anything That Helps,Bridge Underwater,others
Just Like a Woman,Charlotte Gainsbourg & Calexico,love
Psychological Pyrotechnics,Tetrameth,love
She Said,Cold,fear
The Devils Logic,Son of the Electric Ghost,sadness
Layer 001,Robert Henke,fear
Melting Sun IV: Jade Fields,Lantlôs,others
Magic Rabbit,My Brightest Diamond,fear
Dangerous Dilettante,David Devant & His Spirit Wife,others
Last Show,Reel Big Fish,angry
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,love
Prince,LAKEY INSPIRED,love
Plage,Crystal Fighters,others
Where the Wild Things Grow,Kev Rowe,love
Two Unstolen Hearts,植松伸夫,sadness
Air and Light,Steve Roach,love
Find mich eines Morgens,Heinz Rudolf Kunze,love
Today,Junkie XL,fear
NEVER IN MY WILDEST DREAMS,Dan Auerbach,love
Con Te Partirò,Andrea Bocelli,others
Dope Wings,Billy Harvey,love
Come Together/Dear Prudence/Cry Baby Cry,The Beatles,sadness
Good Stuff,Shakira,others
Nans Song,Robbie Williams,fear
An Unearthly Red,Coil,angry
Shes Madonna (with The Pet Shop Boys),Robbie Williams,others
Astral Dustbin Dirge,Nurse With Wound,angry
Ask A Woman Who Knows,Natalie Cole,others
The Seeds,The Roots,love
Georgia Brown,Kasey Chambers,others
No es tan fácil dejar todo atrás,Santino Amigo,others
Turn Off the Night,Richard Marx,love
Help Me,Sonny Boy Williamson (II),fear
Comfortably Numb,The Bad Plus,joy
Six Blade Knife (Live At The BBC),Dire Straits,sadness
Take Me With You,Tori Amos,joy
In the Light of a New Day,Santana,love
Everytime,David Gray,fear
The Walrus and the Carpenter,Donovan,love
Where Is My Boy,Faultline,love
Your Weak Hands,Azure Ray,love
All My Love to You,Janet Jackson,joy
The Prelude (Produced By B-Money),Jay-Z,joy
For the one who could believe,Flёur,sadness
Jasmine,Makyo,love
Dark Matter,Björk,sadness
When The Stars Start To Shine,The Human League,others
On a Wire,Funeral for a Friend,love
organic pod technology,Howard Shore,others
All I Ask of You (Reprise),Andrew Lloyd Webber,joy
Is ja irre,Die Ärzte,sadness
Siste stripe av sol spriker mot ein sytung himmel,Svarte Greiner,love
In Search of Lost Innocence,Lisa Gerrard,sadness
Fill My Little World,The Feeling,others
Simply,De La Soul,joy
The One,Duminie DePorres/Theo Parrish,love
Cold,The Cure,fear
Mystical Clearing,Erdenstern,joy
 - Allegro Moderato molto e marcato,Edvard Grieg,others
炭酸ベイブ,SUPER EGG MACHINE,others
Cupid De Locke,The Smashing Pumpkins,love
DJelimady Rumba,Afrocubism,fear
My Valentine,Paul McCartney,fear
Chłopaki nie płaczą,T.Love,others
Hold on Tight,Lake of Tears,sadness
Be Quiet and Drive (Far Away) (Acoustic),Deftones,fear
"Sidereal as If Not, Part 1.2: Andante facile",COH,love
Weve Got A Situation Here,The Damned Things,sadness
Without You,Centro-matic,angry
Green Eyed Love,Mayer Hawthorne,joy
intro: talk and play,Herr Purpur,others
Walking into the Himalaya to Meditate,Nawang Khechog,sadness
Total Eclipse of the Heart,Jessica Sierra,others
Protagonist,They Might Be Giants,others
Code,Berserk In a Hayfield,angry
Tanzmusik,Herbert Weixelbaum,others
The Road,Everything But the Girl,fear
Spoonful,Barefoot Truth,love
Reaching The Waves,Vladimir Shkatov,love
Afraid,D79,joy
In My Head a Crystal Sphere of Heavy Fluid,Peter Christopherson,others
Lonely Road,Fugdale,angry
Hey Girl (with Michael McDonal,Ray Charles,joy
Forderver den første vanndråpen,Fyrnask,fear
The Chase,The Matthews Brothers,love
Lollipop,Mika,others
Ice Cold Man (feat. Lee Dorrian),Probot,sadness
Les Preludes,Franz Liszt,others
used to feel good,The Abodes,joy
Put It Out For Good,Amy Ray,joy
Krapps Last Tape,Fredrik Thordendals Special Defects,fear
Amazing Grace,Ani DiFranco,joy
OM,Medwyn Goodall,love
Downstream,Supertramp,joy
I Was Dancing In The Lesbian Bar,Jonathan Richman,joy
Its Probably Me,Sting with Eric Clapton,fear
Fruitcakes,Jimmy Buffett,others
Selfish Girls Stay Thin,FakeSensations,love
Cut,Plumb,fear
The I.D.,Moloko,others
雨のマーチ,フジファブリック,love
Fool In Love (LP Version),The Veltones,others
Jubilee,SACRED HARP SINGERS,others
Tombigbee,Tori Amos,angry
Viola (Armin Van Buuren Remix),Moogwai,fear
Shos Song,Cécile Corbel,fear
Extrovert,XTC,joy
Eat Your Tongue! - Part One,Cautiva,joy
Do What You Want,Aya,fear
Ghetto Love,Jaheim,fear
El Amor de mi Vida,Warren Zevon,sadness
(Get Your) Mind Together,95 North,love
The Future Aint What It Used To Be,Pandoras Box,fear
Still Crazy After All These Years,Paul Simon,love
Aladdins Story,Death in Vegas,love
Hole in the Head,Cypress Hill,love
Turiya,DJ Rum,sadness
Big Black Car,Big Star,fear
memory of the past,Controlled Collapse,fear
She All Love,Malcom Kipe,sadness
Million Dollar Question,Radiohead,joy
Mighty Man,Mungo Jerry,joy
No Air  ft. Chris Brown,Jordin Sparks,joy
Higgs Bosoff,Skerror,fear
Studio Chat - The Way I Feel Inside - False Start,The Zombies,joy
-,Pelican,love
I Almost Had A Weakness,Pope John Paul III,angry
Stone Cold Buggin,Young M.C.,love
This is Halloween,Danny Elfman,sadness
Dear God 2.0 (feat. Jim James and Monsters of Folk),The Roots,love
For Veronicas Sake,Alice Cooper,sadness
mildew,Fat Worm of Error,love
JUICY,倖田來未,others
Without Me,Halsey,others
High,James Blunt,love
I Dont Do Crowds,Camera Obscura,love
The Funeral (Butch Clancy Remix),Band of Horses,love
Staryje druzja,Любэ,others
the return,Elalouf,angry
Love Story,Taylor Swift,others
Passage to Nagoya,Arovane,fear
Candys Boy,Bruce Springsteen,others
Hij leeft,Gorki,love
Easy Wind (Remastered LP Version),Grateful Dead,fear
Тетрадь № 5 (Колыбельнинг),The Unb,fear
Is This Power,The Field,fear
Smoking Cigarettes,Tweet,love
Antonin  Dvořák: Sonatina Op.100: Finale-Allegro,Volodja Balžalorsky,love
A Very Gentle Death,Pleq,fear
Baby Blue Eyes,A Rocket to the Moon,others
Fun Assassin,They Might Be Giants,others
Chord Left,Agnes Obel,sadness
Ice Cream (feat. Maboos),현아,others
You And Me feat. Lilja Bloom,Parov Stelar,love
Coin Operated Goi,Voltaire,others
Ink,Coldplay,others
Shooting Holes,Twin Shadow,love
JS Bach: Toccata in d minor MBV 913,Music of the Spheres,fear
How D You Pin That One On Me,Dinosaur Jr.,sadness
Ledôdî,Anael,fear
Rox,The Aliens,joy
Waves,Nouvelle Vague,love
Bigger With A Trigger,Backyard Babies,angry
Subtext,John Foxx & Harold Budd,fear
nonhuman,Choir And Marching Band,love
Cycles,Ghost Circus,fear
In The Real World,Leatherface,love
Enter Sandman,Youn Sun Nah,love
Hey Kind Friend,Indigo Girls,others
Xanax,Maria Taylor,love
Whos In Albert Square,The Vinyls,fear
Perdonala,Les Luthiers,love
Bethbeh,Hany Shaker,love
Nothings Impossible,Depeche Mode,joy
Im Always In Love,Wilco,love
Svartalvheims Djup,Jotunspor,fear
Come Wander,Agua de Annique,fear
Puma,Narkotiki,others
Ours,Taylor Swift,others
Du bist du - Ich bin ich,Rolf Zuckowski und seine Freunde,love
Slow Thick Ride,Skerror,love
The Boys of Mutton Street,Richard Thompson,love
Aka To Kuro,KAJIURA Yuki,others
Abe the Cop,The Dillinger Escape Plan,joy
Drivers Seat,Sniff n the Tears,love
Lucy,Nick Cave,angry
Parallel Minds,Oneohtrix Point Never,others
Oh What Fecundity,Marc Catley & The Flaming Methodists,joy
Breaking Through the Illusion,Razor Edge,angry
Shes Got a Problem,Fountains of Wayne,joy
Doctors Advocate (Feat. Busta Rhymes),The Game,love
None For Me,Mary Prankster,angry
Stranger,Hooverphonic,love
What Remains Is Black,X-Fusion,joy
Wee Goo,Skerror,fear
Dominatress,Cultus Sanguine,sadness
Man of the Hour,Pearl Jam,fear
w.a.m.s,Fall Out Boy,love
Seamless  Version (Explicit)),American Head Charge,angry
Nobody Knows Me At All,The Weepies,love
What You Own,Jonathan Larson,others
September,Future Prophecies,fear
"P, Volume II",(morse),sadness
The World Stops,Jandek,sadness
Bus Drivers Song,Flight of the Conchords,love
These Are The Dead Days,Calhoun,love
Gehen,Swod,fear
All I Can Do,Eggplant,angry
Witches Rave,Jeff Buckley,sadness
Hardys England,Martin Ansell,love
Snow,The Standalone,fear
Texas Joe & The Magic Dildo,Easy Bake Omen,love
Dust on the Window,Low,fear
Passions In The Rain,Autumnstone,others
Forest Crunk,Blockhead,fear
I Am Hell,White Zombie,angry
Отпускаю,Maxi M,fear
Brightest Hour,The Submarines,love
Slow Dance,John Coltrane,love
1 Thing,Amerie,joy
Kehnde Ne Naina,Devika,others
Ephiphany,Jill Scott,joy
sexual violation,Agonoize,love
Hold Your Head,The Flaming Lips,sadness
Moses Theme,Ennio Morricone,others
Seventeen poles,Supersuckers,angry
Reign Dance,Venice Trip,sadness
Sweet Lord In Heaven,Doughty (Soul Coughing),love
Interference,Thom Yorke,sadness
Price Tag,Jessie J Feat. B.o.B,love
The Non-Smokers Liberation Front Anthem,freeman & lange,angry
New Ways,Daughter,joy
Ive Learned My Lesson,KatazTrophee,fear
Sanctuary,Natalie Imbruglia,joy
The Invisible Gardener,Bright Eyes,others
Stay Awake,Ellie Goulding,others
Judas Unrepentant,Big Big Train,angry
Transmitter Failure,Jenny Owen Youngs,love
Only For The Night,RX Bandits,others
Blue Spirit Blues,Diamanda Galás,angry
Alfreds Bad Trip,The Demo Saou,sadness
Human,Dismantled,sadness
Glad To Know You,Chaz Jankel,love
Desire Lines,Lush,love
Mad Onna Part 2,Masonna,joy
Save as Draft,Katy Perry,joy
Redeemer,Steven Sharp Nelson,joy
Monkey Talk,Breathless,fear
Words,Bee Gees,joy
Nothing Has Been Proved,Dusty Springfield,love
The Story Of Cruub Pilot Hunter And Lt. Annifer Dubay,The Psychedelic Avengers,angry
Ntro ft. Maassai,"AKAI SOLO , Pink Siifu,",fear
Another Black Feather,Dayna Kurtz,sadness
Dreams in the Hollow,Jesca Hoop,fear
Crime,Stina Nordenstam,love
Puisses-Tu ……,Dark Sanctuary,love
Midtown,Tom Waits,fear
Red-Eye,The Album Leaf,fear
Nemesis,Aaron Parks,love
Going Out With The Dead,Randy,fear
Alamny,Bob Brozman,fear
Work,Naughty Jack,love
Whats hell really like ? 09,Leæther Strip,sadness
Keen on Boys,The Radio Dept.,joy
Blown Out of the Sky,The Exploited,fear
A Story About A Girl,Our Lady Peace,sadness
The Deep Piano House,Hithouse,angry
"Kitara, taivas ja tähdet",Eppu Normaali,fear
A Minute To Rest And A Second To Pray feat. Ben Harper,Solomon Burke,fear
I Couldnt Sleep,Au Revoir Simone,love
Knocked Out,Melanie C,others
Long Line Of Cars,Cake,fear
Beautiful Day,Laidback,sadness
Fear of Dying,Jack Off Jill,angry
Triskaidekaphobie,Solaris,angry
Stupid Producers,Canibus,sadness
네안의 폐허에 닿아,체리필터,sadness
Prozac vs. Heroin,The Brian Jonestown Massacre,sadness
Ralome,Plaid,love
Who Wants To Live Forever,David Garrett,angry
³­³ª³ª¼Û (Dance),DJ Buddy,joy
This Never Happened Before,Paul McCartney,love
Diary,Saturday Looks Good To Me,others
True Beauty Is So Painful,Oomph!,joy
"Hello Muddah, Hello Faddah!",Allan Sherman,others
Cap In Hand,The Proclaimers,joy
So Naturally,Amusement Parks On Fire,sadness
Goden,Winter,sadness
Halloween,Anthony Rapp,sadness
Hollow Mountain,Efterklang,joy
We Dont Need This (ft Werner),Sidewalk,fear
Crisis Win,Pele,love
Candy,El Perro del Mar,fear
Ruined In 84,K.C. Accidental,love
Track X,Der Blutharsch,angry
Dead Mans Party,Oingo Boingo,joy
Away With Murder,Camera Obscura,fear
1-900-Hustler,Jay-Z,joy
NY Snow Globe,Rachels,love
Crack in the Pavement,Wendy & Lisa,joy
Waka Waka (This Time for Africa),Shakira,others
Girl You Know,Scarface,others
The Very Old Man,Hum,love
a poem by Leonard Bhagwat,the Mishap Crew,fear
Theyll Soon Discover,The Shins,others
Pressure,Swollen Members,others
12 Shots (feat. Nate Augustus),Diabolic,sadness
Back in Judys Jungle,Brian Eno,others
Satellite of Love (2003 Remaster),Lou Reed,sadness
The Shitfaced Reindeer,Christmazz,joy
Ulvi,Kudsi Erguner,fear
Third Half,Hieronymus Bosch,joy
Human After All (Sebastian Remix ),Daft Punk,others
Panis angelicus,Juan Diego Flórez,joy
Waiting for a Train,Hans Zimmer,joy
Djohariah,Sufjan Stevens,joy
The LSB,Make Model,angry
FutureSex/LoveSound,Justin Timberlake,others
Songbird,Rosie Thomas,love
Drop a House (Tribal Mix),Urban Discharge Feat. She,angry
Hankerchief Head,Meat Beat Manifesto,fear
Cocaine Decisions,Frank Zappa,others
Clubbed To Death (Point4 Remix),Rob Dougan,angry
Cult Leader,Non Phixion,love
Come To The Labyrinth,S.J. Tucker,love
Mica,Robert Rich & Steve Roach,fear
Mothers Whistler,Moondog,love
American Daydream,Electric Guest,love
"Etude No. 4 in C sharp minor, Op. 10, No. 4",Frédéric Chopin,others
City of Refuge,Nick Cave & The Bad Seeds,fear
All Night,Beyoncé,others
Im Gone,Bill Laswell,joy
Darkroom,Paul McCartney,others
Stairway To Heaven,Iron Horse,others
Dirty Laundry,"You, Me, and Everyone We Know",others
Multiply,A$AP Rocky,fear
These Fields Are Lurking,Carach Angren,joy
Love of Strings,Moby,love
Stay Young,We the Kings,others
Sea Castle,Purity Ring,fear
Jesus the Mexican Boy,Iron & Wine,love
Soot & Stars,The Smashing Pumpkins,fear
Kaltes Verlangen,Illuminate,fear
Balance,Anathema,fear
Kyrie,Tomás Luis de Victoria,joy
Indian Summer,Mandy Moore,fear
common - be - 05 - testify,Common,others
Energy,Skillet,fear
333 W,Duo Oszedo,love
