title,label
The Doom Generation,sadness
Feast of July,sadness
First Knight,fear
Free Willy 2 - The Adventure Home,joy
Hackers,anger
Jeffrey,joy
Johnny Mnemonic,joy
Judge Dredd,anger
Jury Duty,joy
Kids,anger
Living in Oblivion,joy
Lord of Illusions,fear
Love & Human Remains,sadness
Mad Love,joy
Mallrats,sadness
Mighty Morphin Power Rangers: The Movie,anger
Moonlight and Valentino,joy
Mute Witness,fear
Nadja,sadness
The Net,sadness
Nine Months,joy
Party Girl,sadness
The Prophecy,anger
Reckless,joy
Safe,joy
The Scarlet Letter,joy
The Show,joy
Showgirls,joy
Smoke,fear
Something to Talk About,joy
Species,joy
The Stars Fell on Henrietta,sadness
Strange Days,fear
The Umbrellas of Cherbourg,love
The Tie That Binds,fear
Three Wishes,love
Total Eclipse,sadness
"To Wong Foo, Thanks for Everything! Julie Newmar",anger
Under Siege 2: Dark Territory,fear
Unstrung Heroes,sadness
Unzipped,joy
A Walk in the Clouds,fear
Waterworld,fear
White Mans Burden,fear
Wild Bill,joy
The Browning Version,anger
Bushwhacked,fear
Burnt by the Sun,anger
Before the Rain,anger
Before Sunrise,joy
Billy Madison,joy
The Babysitter,love
Boys on the Side,sadness
The Cure,sadness
Castle Freak,sadness
Circle of Friends,joy
Clerks,anger
Don Juan DeMarco,joy
Disclosure,anger
Dream Man,joy
Drop Zone,anger
Destiny Turns on the Radio,fear
Death and the Maiden,fear
Dolores Claiborne,sadness
Dumb and Dumber,joy
Eat Drink Man Woman,sadness
Exotica,fear
Exit to Eden,sadness
Ed Wood,fear
French Kiss,anger
Forget Paris,sadness
Far from Home: The Adventures of Yellow Dog,joy
A Goofy Movie,joy
Hideaway,joy
Fluke,sadness
Farinelli,joy
Gordy,anger
Gumby: The Movie,joy
The Glass Shield,anger
Hoop Dreams,joy
Heavenly Creatures,joy
Houseguest,anger
Immortal Beloved,joy
Heavyweights,joy
The Hunted,anger
I.Q.,joy
Interview with the Vampire,joy
Jefferson in Paris,fear
The Jerky Boys,anger
Junior,joy
Just Cause,fear
A Kid in King Arthurs Court,joy
Kiss of Death,sadness
Star Wars,joy
Little Women,sadness
A Little Princess,anger
Ladybird Ladybird,sadness
LEnfer,anger
Like Water for Chocolate,anger
Legends of the Fall,sadness
Major Payne,sadness
Little Odessa,anger
Mi Vida Loca,anger
Love Affair,love
Losing Isaiah,fear
The Madness of King George,anger
Mary Shelleys Frankenstein,sadness
Man of the House,joy
Mixed Nuts,fear
Milk Money,joy
Miracle on 34th Street,joy
Miami Rhapsody,fear
My Family,sadness
Murder in the First,anger
Nobodys Fool,anger
Nell,joy
New Jersey Drive,anger
New York Cop,fear
Beyond Bedlam,fear
Nemesis 2 - Nebula,sadness
Nina Takes a Lover,joy
Natural Born Killers,sadness
Only You,joy
Once Were Warriors,anger
Poison Ivy II: Lily,anger
Outbreak,anger
Leon: The Professional,sadness
The Perez Family,fear
A Pyromaniacs Love Story,anger
Pulp Fiction,joy
Panther,joy
Pushing Hands,sadness
Priest,anger
Quiz Show,anger
Picture Bride,sadness
Queen Margot,anger
The Quick and the Dead,fear
Roommates,anger
Prêt-à-Porter,joy
Three Colors: Red,fear
Three Colors: Blue,sadness
Three Colors: White,sadness
"Red Firecracker, Green Firecracker",fear
Rent-a-Kid,joy
Relative Fear,anger
Stuart Saves His Family,fear
The Swan Princess,joy
The Secret of Roan Inish,fear
The Specialist,anger
Stargate,joy
The Santa Clause,fear
The Shawshank Redemption,love
Shallow Grave,sadness
Suture,joy
Strawberry and Chocolate,joy
Swimming with Sharks,anger
The Sum of Us,love
Senior Trip,anger
To Live,sadness
Tank Girl,anger
Tales from the Crypt: Demon Knight,anger
Star Trek: Generations,anger
Tales from the Hood,fear
Tom & Viv,sadness
Village of the Damned,joy
Tommy Boy,joy
Vanya on 42nd Street,sadness
The Underneath,anger
The Walking Dead,anger
Whats Eating Gilbert Grape,sadness
Virtuosity,joy
While You Were Sleeping,fear
The War,sadness
Double Happiness,love
Muriels Wedding,joy
The Baby-Sitters Club,joy
Ace Ventura: Pet Detective,fear
"The Adventures of Priscilla, Queen of the Desert",fear
Backbeat,joy
Bitter Moon,joy
Bullets Over Broadway,sadness
Clear and Present Danger,fear
The Client,joy
"Corrina, Corrina",anger
Crooklyn,anger
The Crow,anger
Cobb,sadness
The Flintstones,joy
Forrest Gump,joy
Four Weddings and a Funeral,joy
Higher Learning,joy
I Like It Like That,anger
I Love Trouble,joy
It Could Happen to You,anger
The Jungle Book,anger
"The Wonderful, Horrible Life of Leni Riefenstahl",joy
The Lion King,anger
Little Buddha,joy
New Nightmare,anger
The Mask,fear
Maverick,joy
Mrs. Parker and the Vicious Circle,anger
The Naked Gun 33⅓: The Final Insult,sadness
The Paper,anger
Reality Bites,joy
Red Rock West,anger
Ri¢hie Ri¢h,love
Safe Passage,sadness
The River Wild,anger
Speed,anger
Speechless,joy
Timecop,fear
True Lies,fear
When a Man Loves a Woman,anger
Wolf,anger
Wyatt Earp,joy
Bad Company,anger
A Man of No Importance,love
S.F.W.,sadness
A Low Down Dirty Shame,anger
"Boys Life: Three Stories of Love, Lust, and Liberation",joy
Colonel Chabert,sadness
"Faster, Pussycat! Kill! Kill!",fear
Jasons Lyric,fear
The Secret Adventures of Tom Thumb,fear
Street Fighter,anger
Coldblooded,anger
Desert Winds,joy
Fall Time,fear
The Fear,fear
Frank and Ollie,joy
Girl in the Cadillac,fear
Homage,anger
Mirage,fear
Open Season,joy
Dos Crímenes,fear
Brother Minister: The Assassination of Malcolm X,joy
Highlander: The Final Dimension,anger
Federal Hill,joy
In the Mouth of Madness,fear
8 Seconds,joy
Above the Rim,joy
Addams Family Values,love
Martin Lawrence: You So Crazy,joy
The Age of Innocence,sadness
Airheads,anger
The Air Up There,fear
Another Stakeout,joy
Bad Girls,sadness
Barcelona,fear
Being Human,joy
The Beverly Hillbillies,fear
Beverly Hills Cop III,joy
Black Beauty,joy
Blink,fear
Blown Away,fear
Blue Chips,fear
Blue Sky,anger
Body Snatchers,fear
Boxing Helena,fear
A Bronx Tale,anger
Cabin Boy,anger
Calendar Girl,fear
Carlitos Way,joy
City Slickers II: The Legend of Curlys Gold,joy
Clean Slate,joy
Cliffhanger,sadness
Coneheads,joy
Color of Night,fear
Cops & Robbersons,anger
The Cowboy Way,sadness
Dangerous Game,anger
Dave,anger
Dazed and Confused,joy
Demolition Man,anger
The Endless Summer 2,joy
Even Cowgirls Get the Blues,joy
Fatal Instinct,love
Farewell My Concubine,anger
The Favor,joy
Fearless,joy
Fear of a Black Hat,anger
With Honors,joy
Flesh and Bone,joy
Widows Peak,sadness
For Love or Money,joy
The Firm,anger
Free Willy,anger
Fresh,fear
The Fugitive,joy
Geronimo: An American Legend,fear
The Getaway,joy
Getting Even with Dad,sadness
Go Fish,anger
A Good Man in Africa,joy
Guilty as Sin,anger
Hard Target,sadness
Heaven & Earth,sadness
Hot Shots! Part Deux,fear
Live Nude Girls,fear
The Englishman Who Went Up a Hill But Came Down a Mountain,anger
The House of the Spirits,anger
House Party 3,joy
The Hudsucker Proxy,fear
Ill Do Anything,joy
In the Army Now,sadness
In the Line of Fire,fear
In the Name of the Father,fear
The Inkwell,joy
Whats Love Got to Do with It,anger
Jimmy Hollywood,sadness
Judgment Night,anger
Jurassic Park,joy
Kalifornia,fear
Killing Zoe,fear
King of the Hill,fear
Lassie,sadness
Last Action Hero,joy
Life With Mikey,joy
Lightning Jack,joy
M. Butterfly,love
Made in America,joy
Malice,joy
The Man without a Face,sadness
Manhattan Murder Mystery,fear
Menace II Society,joy
Executive Decision,fear
In the Realm of the Senses,anger
What Happened Was...,anger
Much Ado About Nothing,anger
Mr. Jones,sadness
Mr. Wonderful,joy
Mrs. Doubtfire,anger
Naked,fear
The Next Karate Kid,anger
The New Age,sadness
No Escape,anger
North,joy
Orlando,joy
A Perfect World,joy
Philadelphia,joy
The Piano,fear
Poetic Justice,joy
The Program,joy
The Puppet Masters,anger
Radioland Murders,sadness
The Ref,fear
The Remains of the Day,joy
Renaissance Man,anger
Rising Sun,fear
The Road to Wellville,sadness
RoboCop 3,anger
Robin Hood: Men in Tights,anger
Romeo Is Bleeding,anger
Romper Stomper,anger
Ruby in Paradise,joy
Rudy,sadness
The Saint of Fort Washington,fear
Savage Nights,anger
Schindlers List,joy
The Scout,sadness
Searching for Bobby Fischer,anger
Second Best,anger
The Secret Garden,sadness
Serial Mom,anger
The Shadow,anger
Shadowlands,joy
Short Cuts,joy
A Simple Twist of Fate,fear
Sirens,love
Six Degrees of Separation,joy
Sleepless in Seattle,love
Sliver,fear
Blade Runner,sadness
Son in Law,joy
So I Married an Axe Murderer,fear
Striking Distance,sadness
Harem,fear
Super Mario Bros.,joy
Surviving the Game,anger
Terminal Velocity,joy
Thirty Two Short Films About Glenn Gould,joy
Threesome,fear
The Nightmare Before Christmas,anger
The Three Musketeers,anger
Tombstone,sadness
Trial by Jury,fear
True Romance,anger
The War Room,joy
The Pagemaster,fear
"Paris, France",anger
"The Beans of Egypt, Maine",anger
Killer,love
Welcome to the Dollhouse,anger
Germinal,anger
Chasers,joy
Cronos,joy
Naked in New York,joy
Kika,fear
Bhaji on the Beach,anger
Little Big League,anger
The Slingshot,anger
Wide Eyed and Legless,joy
Foreign Student,love
"Ciao, Professore!",anger
Spanking the Monkey,sadness
The Little Rascals,love
À la mode,anger
Andre,joy
The Escort,anger
Princess Caraboo,joy
The Celluloid Closet,joy
Café au Lait,anger
Dear Diary,anger
I Dont Want to Talk About It,joy
The Brady Bunch Movie,joy
Home Alone,fear
Ghost,sadness
Aladdin,fear
Terminator 2: Judgment Day,anger
Dances with Wolves,sadness
Tough and Deadly,sadness
Batman,anger
The Silence of the Lambs,fear
Snow White and the Seven Dwarfs,anger
Beauty and the Beast,joy
Pinocchio,joy
Pretty Woman,joy
Window to Paris,sadness
The Wild Bunch,anger
Love and a .45,joy
The Wooden Mans Bride,fear
A Great Day in Harlem,sadness
Bye Bye Love,sadness
One Fine Day,sadness
Candyman: Farewell to the Flesh,sadness
Century,joy
Fargo,fear
Homeward Bound II: Lost in San Francisco,joy
Heavy Metal,fear
Hellraiser: Bloodline,anger
The Pallbearer,fear
Jane Eyre,anger
Loaded,fear
Bread and Chocolate,fear
The Aristocats,sadness
The Flower of My Secret,sadness
Two Much,joy
Ed,joy
Scream of Stone,joy
My Favorite Season,fear
A Modern Affair,love
Condition Red,love
Halfaouine: Boy of the Terraces,anger
A Thin Line Between Love and Hate,love
The Last Supper,anger
Primal Fear,anger
Rude,sadness
Carried Away,love
All Dogs Go to Heaven 2,sadness
Land and Freedom,anger
Denise Calls Up,joy
Theodore Rex,anger
A Family Thing,anger
Frisk,anger
Sgt. Bilko,joy
Jack & Sarah,joy
Girl 6,joy
Diabolique,anger
"Little Indian, Big City",fear
Roula,sadness
Peanuts – Die Bank zahlt alles,joy
Happy Weekend,joy
Nelly and Monsieur Arnaud,anger
Courage Under Fire,joy
Mission: Impossible,joy
Cold Fever,fear
Moll Flanders,anger
The Superwife,joy
"301, 302",anger
DragonHeart,anger
Und keiner weint mir nach,joy
My Mothers Courage,fear
Eddie,anger
Yankee Zulu,anger
Billys Holiday,joy
Purple Noon,joy
August,anger
James and the Giant Peach,fear
Fear,joy
Kids in the Hall: Brain Candy,joy
Faithful,joy
Underground,fear
All Things Fair,anger
Bloodsport II,anger
Pather Panchali,sadness
The World of Apu,sadness
Mystery Science Theater 3000: The Movie,joy
Tarantella,sadness
Space Jam,fear
Barbarella,fear
Hostile Intentions,anger
They Bite,fear
Some Folks Call It a Sling Blade,fear
The Run of the Country,anger
Alphaville,anger
Coup de Torchon,anger
Tigrero: A Film That Was Never Made,joy
The Eye of Vichy,anger
Windows,anger
Its My Party,joy
Country Life,joy
Operation Dumbo Drop,joy
The Promise,joy
Mrs. Winterbourne,sadness
Solo,joy
Under The Domim Tree,anger
The Substitute,fear
True Crime,joy
Butterfly Kiss,joy
Feeling Minnesota,joy
Delta of Venus,sadness
To Cross the Rubicon,sadness
Angus,fear
Priest Daens,anger
Faces,sadness
Boys,sadness
The Quest,joy
Cosi,joy
Sunset Park,joy
Mulholland Falls,fear
The Truth About Cats & Dogs,joy
Oliver & Company,joy
Celtic Pride,sadness
Flipper,anger
Captives,anger
Of Love and Shadows,joy
Dead Man,fear
The Horseman on the Roof,joy
Switchblade Sisters,anger
Mouth to Mouth,fear
The Visitors,anger
Multiplicity,fear
"The Haunted World of Edward D. Wood, Jr.",fear
Two Friends,fear
The Craft,anger
The Great White Hype,joy
Last Dance,joy
War Stories Our Mother Never Told Us,sadness
Cold Comfort Farm,anger
"Institute Benjamenta, or This Dream People Call Human Life",sadness
Heavens Prisoners,fear
Original Gangstas,anger
The Rock,anger
Getting Away with Murder,anger
Cemetery Man,joy
Twister,anger
Barb Wire,joy
Le Garçu,joy
Honeymoon,joy
Ghost in the Shell,fear
Thinner,fear
Spy Hard,anger
Brothers in Trouble,fear
A Close Shave,anger
Force of Evil,anger
The Stupids,sadness
The Arrival,anger
The Man from Down Under,sadness
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,joy
Careful,sadness
Vermont Is for Lovers,joy
A Month by the Lake,joy
Gold Diggers: The Secret of Bear Mountain,joy
Kim,anger
Carmen Miranda: Bananas Is My Business,joy
Ashes of Time,anger
The Jar,sadness
Maya Lin: A Strong Clear Vision,joy
Stalingrad,anger
The Phantom,joy
Striptease,anger
The Last of the High Kings,joy
Heavy,fear
Jack,joy
I Shot Andy Warhol,anger
The Grass Harp,joy
Someone Elses America,joy
Life is Rosy,joy
Quartier Mozart,love
Touki Bouki,anger
Gods Gift,sadness
Spirits of the Dead,sadness
Babyfever,fear
Pharaohs  Army,sadness
Trainspotting,joy
Til There Was You,love
Independence Day,anger
Stealing Beauty,joy
The Fan,love
The Hunchback of Notre Dame,anger
The Cable Guy,anger
Kingpin,sadness
Eraser,anger
The Gate of Heavenly Peace,anger
The Nutty Professor,fear
"I, the Worst of All",anger
An Unforgettable Summer,anger
A Hungarian Fairy Tale,fear
My Life and Times With Antonin Artaud,anger
Midnight Dancers,anger
Somebody to Love,joy
A Very Natural Thing,joy
The Old Lady Who Walked in the Sea,anger
Daylight,joy
The Frighteners,fear
Lone Star,sadness
Harriet the Spy,anger
Phenomenon,joy
Walking and Talking,sadness
Shes the One,anger
A Time to Kill,anger
American Buffalo,anger
Rendezvous in Paris,joy
Alaska,anger
Fled,joy
Kazaam,anger
Magic Hunter,fear
Larger Than Life,sadness
A Boy Called Hate,anger
Power 98,anger
Two Deaths,sadness
A Very Brady Sequel,fear
Stefano Quantestorie,joy
Death in the Garden,fear
Hedd Wyn,joy
La Collectionneuse,sadness
Kaspar Hauser,joy
Regular Guys,fear
Diebinnen,joy
The Convent,joy
The Adventures of Pinocchio,joy
Joes Apartment,sadness
The First Wives Club,joy
Stonewall,anger
Ransom,fear
High School High,joy
Phat Beach,joy
Foxfire,fear
Chain Reaction,fear
Matilda,anger
Emma,love
The Crow: City of Angels,anger
House Arrest,anger
Eyes Without a Face,sadness
Bordello of Blood,sadness
Lotto Land,sadness
The Story of Xinghua,anger
The Day the Sun Turned Cold,anger
Flirt,anger
The Big Squeeze,joy
The Spitfire Grill,anger
Escape from L.A.,anger
Cyclo,anger
Basquiat,sadness
Tin Cup,sadness
Dingo,joy
The Ballad of Narayama,sadness
Every Other Weekend,sadness
Mille bolle blu,joy
Crows and Sparrows,anger
The Godfather,anger
Maybe... Maybe Not,anger
Police Story 3: Supercop,joy
Manny & Lo,fear
Wife,anger
Small Faces,sadness
Bound,anger
Carpool,fear
Death in Brunswick,fear
Kansas City,anger
Gone Fishin,sadness
Lovers Knot,love
Vive LAmour,anger
Shadow of Angels,anger
Killer: A Journal of Murder,anger
Nothing to Lose,anger
Project S,anger
Girls Town,anger
Bye-Bye,sadness
The Relic,fear
The Island of Dr. Moreau,joy
First Kid,fear
The Trigger Effect,anger
Sweet Nothing,fear
Bogus,joy
Bulletproof,anger
Talk of Angels,joy
The Land Before Time III: The Time of the Great Giving,anger
1-900,joy
Baton Rouge,joy
Halloween: The Curse of Michael Myers,fear
Twelfth Night,anger
Mother Night,anger
Liebelei,fear
Venice,joy
Wild Reeds,sadness
For Whom the Bell Tolls,joy
The Philadelphia Story,joy
Singin in the Rain,joy
An American in Paris,sadness
Funny Face,fear
Breakfast at Tiffanys,joy
Vertigo,fear
Rear Window,fear
It Happened One Night,fear
Gaslight,joy
The Gay Divorcee,anger
North by Northwest,anger
The Apartment,joy
Some Like It Hot,joy
Charade,sadness
Casablanca,anger
The Maltese Falcon,joy
My Fair Lady,anger
Sabrina,joy
Roman Holiday,joy
The Little Princess,sadness
Meet Me in St. Louis,fear
The Wizard of Oz,joy
Gone with the Wind,anger
My Favorite Year,joy
Sunset Boulevard,sadness
Citizen Kane,anger
2001: A Space Odyssey,fear
Golden Earrings,fear
All About Eve,anger
The Women,anger
Rebecca,sadness
Foreign Correspondent,joy
Notorious,anger
Spellbound,joy
An Affair to Remember,joy
To Catch a Thief,joy
Father of the Bride,joy
The Band Wagon,joy
Ninotchka,anger
Love in the Afternoon,joy
Gigi,joy
The Reluctant Debutante,joy
The Adventures of Robin Hood,joy
The Mark of Zorro,anger
Laura,love
The Ghost and Mrs. Muir,joy
Lost Horizon,fear
Top Hat,love
To Be or Not to Be,anger
My Man Godfrey,anger
Giant,joy
East of Eden,anger
The Thin Man,fear
His Girl Friday,anger
Around the World in Eighty Days,joy
Its a Wonderful Life,joy
Mr. Smith Goes to Washington,anger
Bringing Up Baby,fear
Penny Serenade,love
The Scarlet Letter,sadness
Lady of Burlesque,sadness
Of Human Bondage,anger
Angel on My Shoulder,joy
Little Lord Fauntleroy,anger
They Made Me a Criminal,anger
The Inspector General,fear
Angel and the Badman,sadness
The 39 Steps,fear
A Walk in the Sun,joy
The Outlaw,joy
Night of the Living Dead,sadness
The African Queen,joy
Beat the Devil,sadness
Cat on a Hot Tin Roof,sadness
The Last Time I Saw Paris,joy
Meet John Doe,anger
Algiers,anger
Something to Sing About,sadness
A Farewell to Arms,sadness
Moonlight Murder,fear
Nothing Personal,anger
"Yes, Madam",anger
Dangerous Ground,anger
Picnic,anger
Madagascar Skin,fear
The Pompatus of Love,anger
Small Wonders,sadness
Fly Away Home,sadness
Bliss,fear
Grace of My Heart,sadness
Brother of Sleep,joy
Maximum Risk,joy
Michael Collins,joy
The Rich Mans Wife,joy
Infinity,joy
Big Night,joy
Last Man Standing,fear
Caught,fear
Set It Off,joy
2 Days in the Valley,joy
Curdled,anger
Lassocié,joy
Eds Next Move,sadness
Extreme Measures,fear
The Glimmer Man,joy
D3: The Mighty Ducks,anger
The Chamber,anger
The Apple Dumpling Gang,anger
"Davy Crockett, King of the Wild Frontier",joy
Escape to Witch Mountain,anger
The Love Bug,joy
Herbie Rides Again,anger
Old Yeller,fear
The Parent Trap,fear
Pollyanna,anger
Homeward Bound: The Incredible Journey,joy
The Shaggy Dog,fear
Swiss Family Robinson,joy
That Darn Cat!,joy
"20,000 Leagues Under the Sea",fear
Cool Runnings,anger
Angels in the Outfield,anger
Cinderella,joy
Winnie the Pooh and the Blustery Day,anger
The Three Caballeros,joy
The Sword in the Stone,joy
So Dear to My Heart,love
Robin Hood: Prince of Thieves,anger
Mary Poppins,joy
Dumbo,joy
Petes Dragon,joy
Bedknobs and Broomsticks,fear
Alice in Wonderland,joy
The Fox and the Hound,joy
Freeway,sadness
The Sound of Music,joy
Die Hard,fear
The Lawnmower Man,joy
Unhook the Stars,joy
Synthetic Pleasures,joy
The Secret Agent,sadness
Secrets & Lies,joy
That Thing You Do!,joy
To Gillian on Her 37th Birthday,sadness
Surviving Picasso,joy
Love Is All There Is,joy
Beautiful Thing,joy
The Long Kiss Goodnight,joy
The Ghost and the Darkness,joy
Looking for Richard,joy
Trees Lounge,sadness
The Proprietor,anger
Normal Life,fear
Get on the Bus,joy
Shadow Conspiracy,fear
Jude,sadness
Everyone Says I Love You,fear
Bitter Sugar,anger
Romeo + Juliet,joy
Swingers,sadness
Sleepers,joy
The Sunchaser,sadness
Johns,anger
Aladdin and the King of Thieves,joy
The Woman in Question,fear
Shall We Dance,love
A Damsel in Distress,anger
Crossfire,anger
"Murder, My Sweet",joy
Macao,fear
For the Moment,sadness
Willy Wonka & the Chocolate Factory,fear
The Sexual Life of the Belgians,joy
The Innocents,fear
Sleeper,joy
Bananas,sadness
A Fish Called Wanda,fear
Life of Brian,anger
Victor/Victoria,sadness
The Candidate,joy
The Great Race,joy
Bonnie and Clyde,joy
The Old Man and the Sea,sadness
Dial M for Murder,anger
Madame Butterfly,sadness
Dirty Dancing,joy
Reservoir Dogs,anger
Platoon,fear
Weekend at Bernies,fear
Basic Instinct,anger
The Doors,joy
The Crying Game,fear
Glengarry Glen Ross,anger
Sophies Choice,anger
E.T. the Extra-Terrestrial,joy
The Search for One-eye Jimmy,fear
A Christmas Carol,joy
Days of Thunder,joy
Top Gun,joy
American Strays,anger
Rebel Without a Cause,sadness
A Streetcar Named Desire,sadness
Children of the Corn IV: The Gathering,fear
The Leopard Son,joy
Charms  Incidents,fear
Bird of Prey,joy
Microcosmos,joy
Palookaville,sadness
The Associate,joy
The Funeral,anger
The Sleepover,joy
A Single Girl,joy
The Eighth Day,sadness
North Star,anger
Drunks,sadness
The People vs. Larry Flynt,anger
Glory Daze,fear
A Perfect Candidate,sadness
On Golden Pond,sadness
The Return of the Pink Panther,joy
Drop Dead Fred,sadness
The Abyss,fear
The Fog,fear
Escape from New York,anger
The Howling,fear
Jean de Florette,sadness
Manon of the Spring,anger
Johnny 100 Pesos,anger
Private Benjamin,sadness
Monty Python and the Holy Grail,anger
Hustler White,joy
Dadetown,joy
Everything Relative,joy
Entertaining Angels - The Dorothy Day Story,joy
Three Lives and Only One Death,joy
The Line King: The Al Hirschfeld Story,joy
Snowriders,joy
Curtiss Charm,fear
When We Were Kings,joy
The Wrong Trousers,anger
JLG/JLG: Self-Portrait in December,joy
The Return of Martin Guerre,fear
Faust,fear
He Walked by Night,joy
Raw Deal,anger
T-Men,anger
The Children Are Watching Us,joy
Pastoral Symphony,fear
Here Comes Cookie,anger
Love In Bloom,anger
Six of a Kind,fear
The Tin Drum,anger
The Ruling Class,anger
Mina Tannenbaum,joy
2 or 3 Things I Know About Her,anger
The Bloody Child,anger
Dear God,joy
Bad Moon,sadness
American Dream,anger
Best of the Best 3: No Turning Back,anger
Bob Roberts,joy
Cinema Paradiso,love
"The Cook, the Thief, His Wife & Her Lover",anger
Dead Tired,fear
Delicatessen,fear
The Double Life of Veronique,joy
Enchanted April,joy
Paths of Glory,joy
The Grifters,anger
Hear My Song,fear
The Shooter,sadness
The English Patient,sadness
Mediterraneo,sadness
My Left Foot: The Story of Christy Brown,sadness
"Sex, Lies, and Videotape",fear
Passion Fish,fear
Strictly Ballroom,joy
The Thin Blue Line,joy
Tie Me Up! Tie Me Down!,fear
Madonna: Truth or Dare,love
Paris is Burning,joy
One Flew Over the Cuckoos Nest,anger
Up in Smoke,anger
The Empire Strikes Back,joy
The Princess Bride,joy
Raiders of the Lost Ark,joy
Brazil,fear
Aliens,sadness
"The Good, the Bad and the Ugly",anger
Withnail & I,joy
12 Angry Men,anger
Lawrence of Arabia,joy
A Clockwork Orange,anger
To Kill a Mockingbird,joy
Apocalypse Now,anger
Once Upon a Time in the West,fear
Return of the Jedi,anger
Wings of Desire,love
The Third Man,sadness
GoodFellas,joy
Alien,sadness
Army of Darkness,fear
The Big Blue,joy
Ran,sadness
The Killer,joy
Psycho,anger
The Blues Brothers,sadness
The Godfather: Part II,joy
Full Metal Jacket,anger
A Grand Day Out,joy
Henry V,anger
Amadeus,fear
The Quiet Man,joy
Once Upon a Time in America,sadness
Raging Bull,anger
Annie Hall,love
The Right Stuff,joy
Stalker,joy
Das Boot,anger
The Sting,joy
Harold and Maude,joy
Trust,fear
The Seventh Seal,sadness
Local Hero,joy
The Terminator,anger
Braindead,anger
Glory,joy
Rosencrantz & Guildenstern Are Dead,fear
Manhattan,sadness
Millers Crossing,love
